Asking_Price,Assessed_Price,Property_Type,Storeys,Year_Built,Neighbourhood,Building_Type,Address
14999,29000,single_family,1,1976,Greenwood,mobile,
204000,203000,single_family,1,2003,downtown east village,apartment,214 630 8 AV SE
439900,421000,single_family,2,1995,coral spring,house,157 CORAL KEYS CO NE
199500,191000,single_family,1,1969,beltline,apartment,103 1236 15 AV SW
429900,480500,single_family,2,1975,southwood,house,11411 SOUTHDALE CL SW
549900,563500,single_family,2,1997,mckenzie,house,124 MT DOUGLAS PT SE
1150000,804500,single_family,1,1950,sunnyside,house,615 2 AV NW
419000,428500,single_family,1,1950,Winston Heights,house,411 33 AV NE
849900,654500,single_family,2.5,1963,kelvin grove,house,7319 KEEWATIN ST SW
458800,502500,single_family,1,1962,brentwood,house,104 BRADEN CR NW
350000,322000,single_family,3,2015,new brighton,townhouse,262 NEW BRIGHTON WK SE
199900,175000,single_family,1,1981,bowness,apartment,"315 8604 48 AV NW Bowness, Calgary, Alberta T3B5E6"
415900,412000,single_family,2,2010,skyview ranch,house,40 SKYVIEW SPRINGS RD NE
199900,175000,single_family,1,1981,bowness,apartment,315 8604 48 AV NW
415900,412000,single_family,2,2010,skyview ranch,house,40 SKYVIEW SPRINGS RD NE
437500,408500,single_family,2,2017,cornerstone,house,432 CORNERSTONE PS NE
415900,410500,single_family,2,2010,skyview ranch,house,44 SKYVIEW SPRINGS RD NE
232800,217500,single_family,1,1981,upper mount royal,apartment,1 2440 14 ST SW
669900,560500,single_family,2,1979,canyon meadows,house,23 CANOVA CL SW
250000,287500,single_family,2,1998,chaparral,townhouse,89 CHAPARRAL RIDGE TC SE
219900,249500,single_family,1,2002,pineridge,duplex,6635 PINECLIFF GV NE
259000,257000,single_family,1,2017,sage hill,townhouse,19 SAGE BLUFF CI NW
224900,222500,single_family,1,2003,citadel,apartment,122 4000 CITADEL MEADOW PT NW
249999,238500,single_family,1,2008,beltline,apartment,1302 210 15 AV SE
194900,212500,single_family,1,1975,rideau park,apartment,108 3316 RIDEAU PL SW
319900,302000,single_family,1,1958,forest lawn,house,2621 42 ST SE
347900,386000,single_family,2,1997,hidden valley,house,102 HIDDEN RANCH RD NW
